age,income,loan_amount,credit_score,default
36.0,79303.0,32598.0,644.0,0
24.0,82876.0,51791.0,712.0,0
43.0,146966.0,53470.0,560.0,0
18.0,79836.0,53869.0,621.0,1
18.0,95202.0,31614.0,649.0,0
46.0,72013.0,49768.0,530.0,1
44.0,90905.0,23613.0,590.0,0
37.0,80235.0,24117.0,599.0,0
23.0,76790.0,6795.0,592.0,1
30.0,121378.0,55074.0,652.0,1
35.0,108544.0,24632.0,630.0,0
20.0,87735.0,33482.0,607.0,0
30.0,38916.0,24076.0,666.0,0
45.0,77780.0,43342.0,743.0,0
54.0,139061.0,30492.0,738.0,1
33.0,80387.0,19342.0,525.0,1
46.0,107064.0,40300.0,675.0,0
18.0,113839.0,17795.0,629.0,1
45.0,89379.0,24951.0,649.0,0
29.0,68164.0,9717.0,616.0,0
41.0,36294.0,17913.0,647.0,0
35.0,98683.0,37142.0,649.0,0
53.0,68705.0,11426.0,605.0,0
28.0,88523.0,17226.0,586.0,0
45.0,60004.0,34972.0,613.0,0
35.0,79695.0,28477.0,654.0,0
36.0,85674.0,58904.0,676.0,0
36.0,90372.0,57007.0,691.0,1
29.0,62704.0,24585.0,610.0,0
38.0,108938.0,41686.0,657.0,0
37.0,73062.0,43991.0,698.0,0
41.0,51511.0,27830.0,710.0,0
39.0,82820.0,17054.0,636.0,0
47.0,85688.0,34852.0,627.0,0
48.0,88212.0,32926.0,651.0,1
26.0,112243.0,29771.0,571.0,0
48.0,80271.0,40308.0,628.0,1
25.0,82608.0,25991.0,685.0,0
44.0,62936.0,21176.0,679.0,0
45.0,101411.0,36309.0,624.0,1
18.0,88686.0,39632.0,653.0,1
39.0,76599.0,20880.0,591.0,0
33.0,46907.0,46137.0,682.0,1
30.0,113888.0,13754.0,635.0,0
53.0,60446.0,28063.0,623.0,0
31.0,73174.0,31904.0,618.0,1
29.0,92167.0,27365.0,636.0,0
39.0,61069.0,28219.0,613.0,0
46.0,55130.0,57453.0,679.0,1
36.0,42521.0,24789.0,616.0,0
51.0,99420.0,64295.0,736.0,0
44.0,74096.0,40246.0,728.0,0
18.0,143545.0,36105.0,587.0,0
32.0,65113.0,40715.0,644.0,0
32.0,66571.0,65359.0,601.0,0
43.0,73692.0,23077.0,620.0,1
18.0,89863.0,21555.0,760.0,1
66.0,75596.0,25942.0,622.0,0
44.0,97247.0,35386.0,662.0,1
40.0,65428.0,14291.0,672.0,0
51.0,57368.0,35268.0,580.0,0
64.0,49036.0,55323.0,589.0,1
48.0,40529.0,36817.0,568.0,0
48.0,74639.0,31488.0,587.0,1
39.0,78980.0,27582.0,469.0,0
36.0,72371.0,45782.0,673.0,0
33.0,109868.0,25090.0,763.0,0
29.0,109561.0,57157.0,649.0,0
30.0,78304.0,58200.0,555.0,1
23.0,49122.0,38081.0,601.0,0
37.0,73666.0,34862.0,612.0,0
19.0,73004.0,47368.0,579.0,0
40.0,71857.0,48138.0,692.0,0
38.0,71046.0,25328.0,689.0,0
40.0,71931.0,28681.0,571.0,0
32.0,77269.0,19132.0,684.0,0
70.0,72289.0,39909.0,732.0,1
53.0,89166.0,43000.0,754.0,0
24.0,92207.0,18801.0,812.0,0
41.0,66787.0,29538.0,586.0,0
31.0,110421.0,18833.0,809.0,1
27.0,65399.0,24214.0,619.0,0
23.0,52644.0,41612.0,604.0,1
43.0,92616.0,26198.0,660.0,0
31.0,68652.0,31390.0,605.0,0
49.0,91426.0,15472.0,664.0,0
49.0,36927.0,37244.0,561.0,0
53.0,112849.0,34469.0,626.0,1
29.0,98446.0,26252.0,717.0,1
43.0,54990.0,32732.0,637.0,0
45.0,55424.0,37164.0,648.0,1
33.0,118445.0,25222.0,669.0,0
30.0,70252.0,17285.0,710.0,1
56.0,68316.0,56667.0,541.0,0
41.0,39679.0,27401.0,675.0,0
45.0,77984.0,33839.0,624.0,0
29.0,80446.0,47130.0,650.0,1
25.0,99310.0,77349.0,704.0,0
32.0,57018.0,20066.0,568.0,0
37.0,54594.0,40398.0,579.0,0
26.0,94019.0,26509.0,524.0,0
38.0,105135.0,28535.0,607.0,0
19.0,53577.0,26357.0,720.0,0
26.0,106630.0,21492.0,633.0,0
45.0,85751.0,34505.0,560.0,1
45.0,106836.0,17306.0,611.0,0
34.0,83596.0,46362.0,551.0,0
27.0,34554.0,35660.0,572.0,1
27.0,81961.0,40069.0,663.0,1
34.0,106203.0,29406.0,570.0,1
45.0,67125.0,30594.0,707.0,0
48.0,77241.0,38451.0,636.0,0
33.0,81477.0,21031.0,645.0,0
25.0,27010.0,30704.0,623.0,0
41.0,118427.0,24685.0,686.0,0
29.0,66972.0,24313.0,687.0,1
32.0,95115.0,9682.0,660.0,0
53.0,83266.0,51072.0,674.0,1
47.0,110152.0,26762.0,627.0,1
40.0,93121.0,48961.0,673.0,1
24.0,80302.0,47826.0,620.0,0
40.0,67130.0,19568.0,640.0,1
50.0,100957.0,21939.0,624.0,1
34.0,47531.0,65726.0,613.0,1
53.0,97918.0,56011.0,599.0,1
52.0,63019.0,34622.0,668.0,0
56.0,110046.0,38088.0,719.0,0
41.0,88226.0,27430.0,710.0,0
44.0,97882.0,40188.0,565.0,1
54.0,86640.0,26394.0,717.0,1
43.0,49952.0,10612.0,621.0,0
32.0,67785.0,19141.0,676.0,1
33.0,98448.0,35253.0,586.0,0
41.0,88333.0,21427.0,649.0,1
